Title,Pop
Toy Story (1995),4
Jumanji (1995),4
Grumpier Old Men (1995),4
Waiting to Exhale (1995),2
Father of the Bride Part II (1995),3
Heat (1995),4
Sabrina (1995),4
Tom and Huck (1995),2
Sudden Death (1995),2
GoldenEye (1995),4
"American President, The (1995)",4
Dracula: Dead and Loving It (1995),2
Balto (1995),2
Nixon (1995),2
Cutthroat Island (1995),2
Casino (1995),4
Sense and Sensibility (1995),4
Four Rooms (1995),2
Ace Ventura: When Nature Calls (1995),3
Money Train (1995),2
Get Shorty (1995),4
Copycat (1995),3
Assassins (1995),2
Powder (1995),4
Leaving Las Vegas (1995),4
Othello (1995),2
Now and Then (1995),1
Persuasion (1995),3
"City of Lost Children, The (1995)",3
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),2
Dangerous Minds (1995),2
Twelve Monkeys (1995),4
Wings of Courage (1995),0
Babe (1995),4
Carrington (1995),2
Dead Man Walking (1995),4
Across the Sea of Time (1995),0
It Takes Two (1995),1
Clueless (1995),4
"Cry, the Beloved Country (1995)",1
Richard III (1995),3
Dead Presidents (1995),3
Restoration (1995),2
Mortal Kombat (1995),3
To Die For (1995),4
How to Make an American Quilt (1995),2
Seven (Se7en) (1995),4
Pocahontas (1995),3
When Night Is Falling (1995),1
"Usual Suspects, The (1995)",4
Guardian Angel (1994),0
Mighty Aphrodite (1995),4
Lamerica (1994),0
"Big Green, The (1995)",1
Georgia (1995),1
Kids of the Round Table (1995),0
Home for the Holidays (1995),2
"Postino, Il (The Postman) (1994)",4
"Confessional, The (Le Confessionnal) (1995)",0
"Indian in the Cupboard, The (1995)",3
Eye for an Eye (1996),2
Mr. Holland's Opus (1995),4
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2
Two if by Sea (1996),2
Bio-Dome (1996),2
Lawnmower Man 2: Beyond Cyberspace (1996),2
Two Bits (1995),0
French Twist (Gazon maudit) (1995),1
Friday (1995),3
From Dusk Till Dawn (1996),4
Fair Game (1995),2
Kicking and Screaming (1995),2
"Misérables, Les (1995)",3
Bed of Roses (1996),2
Big Bully (1996),0
Screamers (1995),3
Nico Icon (1995),1
"Crossing Guard, The (1995)",1
"Juror, The (1996)",2
"White Balloon, The (Badkonake Sefid ) (1995)",1
Things to Do in Denver when You're Dead (1995),2
Antonia's Line (Antonia) (1995),2
Once Upon a Time... When We Were Colored (1995),1
Last Summer in the Hamptons (1995),1
Angels and Insects (1995),3
White Squall (1996),3
Dunston Checks In (1996),2
Black Sheep (1996),3
Nick of Time (1995),3
"Journey of August King, The (1995)",0
Mary Reilly (1996),2
Vampire in Brooklyn (1995),2
Beautiful Girls (1996),3
Broken Arrow (1996),4
In the Bleak Midwinter (1995),0
"Hate (Haine, La) (1995)",1
Shopping (1994),0
Heidi Fleiss: Hollywood Madam (1995),1
City Hall (1996),2
Bottle Rocket (1996),3
